game_id,year,week,owner_1,score_1,owner_2,score_2,season,round
339,2016,5,CN,81.5,CD,119.6,Regular Season,Regular Season
340,2016,5,ML,84.2,DK,90,Regular Season,Regular Season
341,2016,5,WF,95.5,RW,105,Regular Season,Regular Season
342,2016,6,ML,91.9,DG,134.9,Regular Season,Regular Season
343,2016,6,DK,71.1,NN,88.6,Regular Season,Regular Season
344,2016,6,CD,77.1,LB,117.3,Regular Season,Regular Season
345,2016,6,RW,87.3,OB,111,Regular Season,Regular Season
346,2016,6,CN,87.8,WF,79.2,Regular Season,Regular Season
347,2016,7,WF,89.1,DG,82.6,Regular Season,Regular Season
348,2016,7,DK,134.9,RW,92.6,Regular Season,Regular Season
349,2016,7,OB,107.1,ML,92.2,Regular Season,Regular Season
350,2016,7,CD,118.8,NN,118.4,Regular Season,Regular Season
